Arrival_ID	Date	Mandi_ID	Crop_Name	Variety	Arrival_Quantity_Quintals	Arrival_Quantity_Mt	Arrival_Quantity_Kg	Reported_Quantity	Reported_Unit	Farmer_Count	Is_Arrival_ID_Imputed	Is_Quantity_Negative_Flag
ARR0020119	04-08-2026	MANDI001	Cotton	HD-2967	427.61	42.761	42761	42761	Kilogram		FALSE	FALSE
ARR0006422	07-01-2026	MANDI001	Mustard		214.64	21.464	21464	214.64	Quintal	130	FALSE	FALSE
ARR0020236	27-01-2026	MANDI001	Cotton	HD-2967	382.93	38.293	38293	382.93	Quintal	36	FALSE	TRUE
ARR0020011	14-07-2026	MANDI001	Maize	Local	90.67	9.067	9067	9067	Kilogram	13	FALSE	FALSE
ARR0015663	01-01-2026	MANDI001	Maize		94.73	9.473	9473	9473	Kilogram	62	FALSE	FALSE
ARR0020197	23-05-2026	MANDI001	Wheat	Hybrid	330.32	33.032	33032	330.32	Quintal	123	FALSE	FALSE
ARR0006589	19-03-2026	MANDI001	Wheat	HD-2967	130.24	13.024	13024	13.024	Metric Tonne	76	FALSE	FALSE
ARR0012319	27-06-2026	MANDI001	Sugarcane	Premium	64.26	6.426	6426	64.26	Quintal	36	FALSE	FALSE
ARR0002191	04-09-2026	MANDI001	Wheat	HD-2967	325.44	32.544	32544	32544	Kilogram	93	FALSE	FALSE
ARR0010617	11-08-2026	MANDI001	Wheat	Local	148.2	14.82	14820	148.2	Quintal	114	FALSE	FALSE
ARR0011336	23-01-2026	MANDI001	Mustard		101.19	10.119	10119	10119	Kilogram	129	FALSE	FALSE
ARR0011461	01-05-2026	MANDI001	Wheat	Local	77.29	7.729	7729	77.29	Quintal	93	FALSE	FALSE
ARR0004545	25-06-2026	MANDI001	Rice	PBW-343	324.08	32.408	32408	32408	Kilogram		FALSE	FALSE
ARR0003760	16-06-2026	MANDI001	Paddy	Premium	95	9.5	9500	95	Quintal	120	FALSE	FALSE
ARR0016634	08-01-2026	MANDI001	Wheat	Hybrid	459.87	45.987	45987	459.87	Quintal	23	FALSE	FALSE
ARR0017319	01-08-2026	MANDI001	Cotton	Premium	142.17	14.217	14217	142.17	Quintal	69	FALSE	FALSE
ARR0002103	16-06-2026	MANDI001	Cotton	Premium	42.67	4.267	4267	42.67	Quintal	16	FALSE	FALSE
ARR0008525	09-03-2026	MANDI001	Mustard	HD-2967	297.49	29.749	29749	29.749	Metric Tonne	61	FALSE	FALSE
ARR0016902	04-03-2026	MANDI001	Mustard	HD-2967	425.38	42.538	42538	42.538	Metric Tonne		FALSE	FALSE
ARR0010945	21-08-2026	MANDI001	Sugarcane	Local	453.96	45.396	45396	45396	Kilogram	52	FALSE	FALSE
ARR0022374	06-01-2026	MANDI001	Cotton	PBW-343	425.11	42.511	42511	42511	Kilogram	115	FALSE	FALSE
ARR0002648	21-04-2026	MANDI001	Mustard	PBW-343	354.09	35.409	35409	35.409	Metric Tonne	50	FALSE	FALSE
ARR0023156	27-02-2026	MANDI001	Paddy		227.42	22.742	22742	22.742	Metric Tonne	67	FALSE	FALSE
ARR0019874	06-07-2026	MANDI001	Maize	PBW-343	97.58	9.758	9758	97.58	Quintal	143	FALSE	FALSE
ARR0000948	07-04-2026	MANDI001	Wheat	Hybrid	424.29	42.429	42429	424.29	Quintal	11	FALSE	FALSE
ARR0006145	29-03-2026	MANDI001	Sugarcane	HD-2967	265.16	26.516	26516	26516	Kilogram	146	FALSE	FALSE
ARR0009228	17-01-2026	MANDI001	Mustard		277.35	27.735	27735	277.35	Quintal	71	FALSE	FALSE
ARR0023646	15-03-2026	MANDI001	Sugarcane	HD-2967	428.4	42.84	42840	42.84	Metric Tonne	9	FALSE	FALSE
ARR0008396	04-04-2026	MANDI001	Sugarcane	Pusa-1121	164.77	16.477	16477	16477	Kilogram	82	FALSE	FALSE
ARR0002229	27-02-2026	MANDI001	Wheat	Pusa-1121	125.16	12.516	12516	12.516	Metric Tonne	24	FALSE	FALSE
ARR0020784	06-05-2026	MANDI001	Sugarcane	Pusa-1121	182.65	18.265	18265	182.65	Quintal	26	FALSE	FALSE
ARR0010810	26-05-2026	MANDI001	Wheat	Premium	324.85	32.485	32485	324.85	Quintal	105	FALSE	FALSE
ARR0013745	25-04-2026	MANDI001	Sugarcane	PBW-343	461.04	46.104	46104	46.104	Metric Tonne		FALSE	FALSE
ARR0022002	11-03-2026	MANDI001	Cotton		384.81	38.481	38481	384.81	Quintal	69	FALSE	FALSE
ARR0006189	31-03-2026	MANDI001	Sugarcane	Local	320.11	32.011	32011	32011	Kilogram	147	FALSE	FALSE
ARR0008442	24-03-2026	MANDI001	Paddy	PBW-343	33.24	3.324	3324	33.24	Quintal	59	FALSE	FALSE
ARR0013551	22-03-2026	MANDI001	Sugarcane	Hybrid	288.13	28.813	28813	28.813	Metric Tonne	19	FALSE	FALSE
ARR0023827	18-08-2026	MANDI001	Basmati Rice	HD-2967	483.73	48.373	48373	483.73	Quintal		FALSE	FALSE
ARR0018162	15-04-2026	MANDI001	Mustard	PBW-343	462.15	46.215	46215	46215	Kilogram	94	FALSE	FALSE
ARR0014967	09-02-2026	MANDI001	Maize	Hybrid	250.39	25.039	25039	250.39	Quintal	150	FALSE	FALSE
ARR0010378	06-04-2026	MANDI001	Cotton	Local	156.02	15.602	15602	156.02	Quintal	108	FALSE	FALSE
ARR0003953	06-11-2026	MANDI001	Basmati Rice	Premium	3.2828	0.3283	328.28	328.28	Kilogram		FALSE	TRUE
ARR0021213	20-02-2026	MANDI001	Cotton	Pusa-1121	359.78	35.978	35978	359.78	Quintal		FALSE	FALSE
ARR0003637	09-04-2026	MANDI001	Wheat	HD-2967	172.71	17.271	17271	17271	Kilogram	86	FALSE	FALSE
ARR0021070	31-03-2026	MANDI001	Maize	PBW-343	384.93	38.493	38493	38.493	Metric Tonne	124	FALSE	FALSE
ARR0003667	01-03-2026	MANDI001	Cotton	HD-2967	307.12	30.712	30712	307.12	Quintal	137	FALSE	FALSE
ARR0023930	30-05-2026	MANDI001	Rice	HD-2967	499.3	49.93	49930	49930	Kilogram	94	FALSE	FALSE
ARR_IMP00420	18-06-2026	MANDI001	Mustard		4.3464	0.4346	434.64	434.64	Kilogram		TRUE	TRUE
ARR0022034	27-04-2026	MANDI001	Wheat	Local	11.66	1.166	1166	1166	Kilogram	134	FALSE	FALSE
ARR0007619	04-07-2026	MANDI001	Maize	PBW-343	209.01	20.901	20901	20901	Kilogram	61	FALSE	FALSE
ARR0005206	19-07-2026	MANDI001	Sugarcane	Hybrid	252.27	25.227	25227	252.27	Quintal	44	FALSE	FALSE
ARR0014095	05-07-2026	MANDI001	Rice	Local	186.01	18.601	18601	18601	Kilogram	90	FALSE	FALSE
ARR0010495	13-06-2026	MANDI001	Maize		184.25	18.425	18425	18425	Kilogram	132	FALSE	FALSE
ARR0008327	30-03-2026	MANDI001	Rice	Pusa-1121	479.24	47.924	47924	47924	Kilogram	76	FALSE	FALSE
ARR0012646	31-07-2026	MANDI001	Mustard	HD-2967	37.26	3.726	3726	37.26	Quintal	85	FALSE	FALSE
ARR0021535	16-08-2026	MANDI001	Sugarcane	Premium	433.99	43.399	43399	433.99	Quintal	70	FALSE	FALSE
ARR0023702	22-04-2026	MANDI001	Mustard		297.16	29.716	29716	29716	Kilogram	29	FALSE	FALSE
ARR0008312	02-09-2026	MANDI001	Mustard	Hybrid	484.77	48.477	48477	48477	Kilogram	89	FALSE	FALSE
ARR0000293	05-03-2026	MANDI001	Mustard	PBW-343	435.48	43.548	43548	43548	Kilogram	29	FALSE	FALSE
ARR0013498	07-01-2026	MANDI001	Sugarcane		456.73	45.673	45673	45673	Kilogram	75	FALSE	FALSE
ARR0024829	18-02-2026	MANDI001	Sugarcane	HD-2967	30.08	3.008	3008	30.08	Quintal	95	FALSE	FALSE
ARR0008466	13-05-2026	MANDI001	Maize	Local	4.9481	0.4948	494.81	494.81	Kilogram	123	FALSE	TRUE
ARR0018819	08-02-2026	MANDI001	Sugarcane	Premium	366.82	36.682	36682	36.682	Metric Tonne	98	FALSE	FALSE
ARR0016972	03-07-2026	MANDI001	Sugarcane	Local	215.32	21.532	21532	215.32	Quintal	110	FALSE	FALSE
ARR0024034	10-06-2026	MANDI001	Maize	Local	258.17	25.817	25817	25817	Kilogram	60	FALSE	FALSE
ARR0003250	26-08-2026	MANDI001	Maize	PBW-343	492.09	49.209	49209	49.209	Metric Tonne	40	FALSE	FALSE
ARR0020931	02-07-2026	MANDI001	Wheat	PBW-343	237.94	23.794	23794	237.94	Quintal	7	FALSE	FALSE
ARR0011997	05-09-2026	MANDI001	Sugarcane	Premium	377.17	37.717	37717	37.717	Metric Tonne	54	FALSE	FALSE
ARR0015562	06-05-2026	MANDI001	Sugarcane	Local	75.94	7.594	7594	75.94	Quintal	134	FALSE	TRUE
ARR0013122	31-08-2026	MANDI001	Rice	Hybrid	26.99	2.699	2699	26.99	Quintal	140	FALSE	TRUE
ARR0019635	13-02-2026	MANDI001	Wheat	Hybrid	381.89	38.189	38189	381.89	Quintal	125	FALSE	FALSE
ARR0003010	28-05-2026	MANDI001	Cotton	HD-2967	226.1	22.61	22610	226.1	Quintal	150	FALSE	FALSE
ARR0003592	21-03-2026	MANDI001	Mustard	HD-2967	300.02	30.002	30002	300.02	Quintal	55	FALSE	FALSE
ARR0011065	15-01-2026	MANDI001	Sugarcane	Local	479.97	47.997	47997	47.997	Metric Tonne	62	FALSE	FALSE
ARR0009987	19-04-2026	MANDI001	Maize	HD-2967	304.64	30.464	30464	30464	Kilogram	132	FALSE	FALSE
ARR0000642	02-01-2026	MANDI001	Mustard	PBW-343	95.03	9.503	9503	9.503	Metric Tonne		FALSE	FALSE
ARR0004544	17-03-2026	MANDI001	Wheat	PBW-343	348.55	34.855	34855	348.55	Quintal	29	FALSE	FALSE
ARR0014669	05-06-2026	MANDI001	Cotton	HD-2967	257.48	25.748	25748	257.48	Quintal	30	FALSE	FALSE
ARR0023994	14-04-2026	MANDI001	Paddy	Premium	424.21	42.421	42421	42.421	Metric Tonne	108	FALSE	FALSE
ARR0021450	29-01-2026	MANDI001	Rice	Premium	152.82	15.282	15282	152.82	Quintal	118	FALSE	FALSE
ARR0012935	28-05-2026	MANDI001	Wheat	PBW-343	420.44	42.044	42044	420.44	Quintal		FALSE	FALSE
ARR0007010	03-06-2026	MANDI001	Cotton	HD-2967	451.94	45.194	45194	451.94	Quintal	140	FALSE	FALSE
ARR0011392	28-01-2026	MANDI001	Mustard	Hybrid	235.51	23.551	23551	23551	Kilogram	93	FALSE	FALSE
ARR0022381	04-02-2026	MANDI001	Maize	Hybrid	2.2044	0.2204	220.44	220.44	Kilogram	121	FALSE	TRUE
ARR0021174	05-08-2026	MANDI001	Maize	HD-2967	315.97	31.597	31597	315.97	Quintal	62	FALSE	FALSE
ARR0001200	06-06-2026	MANDI001	Mustard	Pusa-1121	302.8	30.28	30280	30280	Kilogram	15	FALSE	FALSE
ARR0005362	12-05-2026	MANDI001	Cotton	Premium	407.88	40.788	40788	407.88	Quintal	68	FALSE	FALSE
ARR0015483	20-01-2026	MANDI001	Maize	Hybrid	401.19	40.119	40119	401.19	Quintal	83	FALSE	FALSE
ARR0019051	08-05-2026	MANDI001	Paddy	Pusa-1121	333.98	33.398	33398	333.98	Quintal	60	FALSE	FALSE
ARR0015206	16-02-2026	MANDI001	Sugarcane		128.33	12.833	12833	12833	Kilogram	122	FALSE	FALSE
ARR0023687	20-07-2026	MANDI001	Cotton	HD-2967	313.79	31.379	31379	31.379	Metric Tonne	55	FALSE	FALSE
ARR0008825	11-02-2026	MANDI001	Paddy		206.47	20.647	20647	20647	Kilogram	95	FALSE	FALSE
ARR0005413	01-01-2026	MANDI001	Sugarcane	Pusa-1121	499.91	49.991	49991	49991	Kilogram	83	FALSE	FALSE
ARR0002552	01-06-2026	MANDI001	Sugarcane		289.29	28.929	28929	28929	Kilogram	94	FALSE	FALSE
ARR0021309	16-02-2026	MANDI001	Wheat	Premium	255.85	25.585	25585	255.85	Quintal		FALSE	TRUE
ARR0012956	13-03-2026	MANDI001	Wheat	Premium	364.03	36.403	36403	36.403	Metric Tonne	72	FALSE	FALSE
ARR0023506	01-03-2026	MANDI001	Sugarcane	Pusa-1121	77.92	7.792	7792	77.92	Quintal	95	FALSE	FALSE
ARR0004014	16-04-2026	MANDI001	Mustard	HD-2967	127.29	12.729	12729	127.29	Quintal	60	FALSE	FALSE
ARR0006852	23-02-2026	MANDI001	Mustard	HD-2967	455.16	45.516	45516	45516	Kilogram	12	FALSE	FALSE
ARR0013966	29-07-2026	MANDI001	Mustard	Premium	491.03	49.103	49103	49103	Kilogram	84	FALSE	FALSE
ARR0007469	29-01-2026	MANDI001	Wheat	Local	332.27	33.227	33227	33227	Kilogram	14	FALSE	FALSE
ARR0016125	31-01-2026	MANDI001	Rice	Pusa-1121	472.72	47.272	47272	47.272	Metric Tonne	125	FALSE	FALSE
ARR0004812	23-05-2026	MANDI001	Maize	PBW-343	483.83	48.383	48383	483.83	Quintal	56	FALSE	FALSE
ARR0000578	03-02-2026	MANDI001	Cotton	Premium	75.27	7.527	7527	7527	Kilogram		FALSE	FALSE
ARR0010878	11-03-2026	MANDI001	Mustard	PBW-343	262.58	26.258	26258	262.58	Quintal	53	FALSE	FALSE
ARR0011862	27-03-2026	MANDI001	Cotton	HD-2967	435.88	43.588	43588	435.88	Quintal		FALSE	FALSE
ARR0021764	30-07-2026	MANDI001	Maize	PBW-343	213.06	21.306	21306	21.306	Metric Tonne	16	FALSE	FALSE
ARR0011020	03-05-2026	MANDI001	Maize	Premium	455.93	45.593	45593	45.593	Metric Tonne	64	FALSE	FALSE
ARR0016282	07-06-2026	MANDI001	Rice	Local	175.23	17.523	17523	17523	Kilogram	135	FALSE	FALSE
ARR0003517	20-01-2026	MANDI001	Maize		492.63	49.263	49263	49263	Kilogram	81	FALSE	FALSE
ARR0024408	04-09-2026	MANDI001	Cotton	HD-2967	346.58	34.658	34658	34658	Kilogram	71	FALSE	FALSE
ARR0011734	17-06-2026	MANDI001	Wheat	Local	102.91	10.291	10291	102.91	Quintal	8	FALSE	FALSE
ARR0008109	03-01-2026	MANDI001	Sugarcane	Pusa-1121	113.12	11.312	11312	113.12	Quintal	116	FALSE	FALSE
ARR0015738	19-01-2026	MANDI001	Cotton		245.26	24.526	24526	245.26	Quintal	13	FALSE	FALSE
ARR0016277	23-06-2026	MANDI001	Mustard	HD-2967	15.16	1.516	1516	1.516	Metric Tonne	95	FALSE	FALSE
ARR0010657	17-07-2026	MANDI001	Rice	Pusa-1121	458.64	45.864	45864	458.64	Quintal		FALSE	FALSE
ARR0010407	19-04-2026	MANDI001	Mustard		363.83	36.383	36383	36383	Kilogram	82	FALSE	FALSE
ARR0005194	28-04-2026	MANDI001	Mustard	Pusa-1121	239.52	23.952	23952	23.952	Metric Tonne	99	FALSE	FALSE
ARR0011543	10-04-2026	MANDI001	Basmati Rice	Local	129.48	12.948	12948	129.48	Quintal	41	FALSE	FALSE
ARR0014704	11-06-2026	MANDI001	Wheat	Pusa-1121	47.11	4.711	4711	47.11	Quintal	107	FALSE	FALSE
ARR0006082	27-08-2026	MANDI001	Wheat	HD-2967	95.47	9.547	9547	9547	Kilogram	20	FALSE	FALSE
ARR0011184	13-06-2026	MANDI001	Wheat		437.07	43.707	43707	437.07	Quintal	34	FALSE	FALSE
ARR0002428	20-03-2026	MANDI001	Sugarcane	PBW-343	484.12	48.412	48412	48412	Kilogram	7	FALSE	FALSE
ARR0013664	27-02-2026	MANDI001	Paddy		380.47	38.047	38047	38047	Kilogram	50	FALSE	FALSE
ARR0017140	08-05-2026	MANDI001	Sugarcane	HD-2967	136.28	13.628	13628	136.28	Quintal		FALSE	FALSE
ARR0000851	28-07-2026	MANDI001	Mustard	Pusa-1121	435.33	43.533	43533	435.33	Quintal	102	FALSE	FALSE
ARR0018375	20-07-2026	MANDI001	Mustard	PBW-343	138.58	13.858	13858	13.858	Metric Tonne	68	FALSE	FALSE
ARR0022199	24-05-2026	MANDI001	Rice	Premium	364.4	36.44	36440	36.44	Metric Tonne	72	FALSE	FALSE
ARR0004473	22-06-2026	MANDI001	Paddy	HD-2967	247.72	24.772	24772	247.72	Quintal	49	FALSE	FALSE
ARR0021643	31-08-2026	MANDI001	Paddy	PBW-343	122.63	12.263	12263	12263	Kilogram	70	FALSE	FALSE
ARR0008972	26-03-2026	MANDI001	Rice	Pusa-1121	226.79	22.679	22679	226.79	Quintal	23	FALSE	FALSE
ARR0012411	09-09-2026	MANDI001	Mustard	HD-2967	62.64	6.264	6264	6.264	Metric Tonne	114	FALSE	FALSE
ARR0001974	03-04-2026	MANDI001	Wheat	HD-2967	130.1	13.01	13010	13010	Kilogram	72	FALSE	FALSE
ARR0022262	18-05-2026	MANDI001	Rice	PBW-343	156.76	15.676	15676	156.76	Quintal	101	FALSE	FALSE
ARR0018720	24-03-2026	MANDI001	Mustard	Premium	269.68	26.968	26968	269.68	Quintal	47	FALSE	FALSE
ARR0011519	10-07-2026	MANDI001	Cotton	Pusa-1121	281.17	28.117	28117	281.17	Quintal	112	FALSE	FALSE
ARR0023753	16-06-2026	MANDI001	Cotton	Premium	293.77	29.377	29377	29.377	Metric Tonne		FALSE	FALSE
ARR0017458	30-03-2026	MANDI001	Sugarcane	PBW-343	427.25	42.725	42725	427.25	Quintal		FALSE	FALSE
ARR0000100	27-08-2026	MANDI001	Wheat		19.31	1.931	1931	19.31	Quintal	82	FALSE	FALSE
ARR0019334	19-04-2026	MANDI001	Sugarcane	Local	227.31	22.731	22731	22.731	Metric Tonne		FALSE	FALSE
ARR0020484	16-05-2026	MANDI001	Mustard	PBW-343	414.9	41.49	41490	414.9	Quintal	145	FALSE	FALSE
ARR0017012	28-07-2026	MANDI001	Rice		149.02	14.902	14902	14.902	Metric Tonne	94	FALSE	FALSE
ARR0019560	17-06-2026	MANDI001	Cotton	PBW-343	60.26	6.026	6026	6.026	Metric Tonne	150	FALSE	FALSE
ARR0010949	03-09-2026	MANDI001	Sugarcane	Hybrid	426.28	42.628	42628	42628	Kilogram		FALSE	FALSE
ARR0021536	12-05-2026	MANDI001	Mustard	PBW-343	399.09	39.909	39909	39909	Kilogram	17	FALSE	FALSE
ARR0023907	06-07-2026	MANDI001	Sugarcane		491.44	49.144	49144	491.44	Quintal	6	FALSE	TRUE
ARR0007739	08-05-2026	MANDI001	Cotton	HD-2967	309.61	30.961	30961	30.961	Metric Tonne	74	FALSE	FALSE
ARR0018814	20-04-2026	MANDI001	Maize		106.6	10.66	10660	10660	Kilogram	102	FALSE	FALSE
ARR0021724	21-02-2026	MANDI001	Sugarcane	Hybrid	49.39	4.939	4939	4939	Kilogram	47	FALSE	FALSE
ARR0007342	16-04-2026	MANDI001	Maize	HD-2967	450.46	45.046	45046	45.046	Metric Tonne	140	FALSE	FALSE
ARR0024770	12-01-2026	MANDI001	Mustard	PBW-343	428.42	42.842	42842	428.42	Quintal	29	FALSE	TRUE
ARR0001449	31-07-2026	MANDI001	Sugarcane	Premium	57.74	5.774	5774	5.774	Metric Tonne	123	FALSE	FALSE
ARR0019719	25-04-2026	MANDI001	Wheat	HD-2967	146.06	14.606	14606	14.606	Metric Tonne	74	FALSE	FALSE
ARR0012936	21-06-2026	MANDI001	Maize	HD-2967	491.9	49.19	49190	49190	Kilogram	53	FALSE	FALSE
ARR0005500	09-02-2026	MANDI001	Sugarcane	Local	191.79	19.179	19179	19.179	Metric Tonne	102	FALSE	FALSE
ARR0023988	03-03-2026	MANDI001	Wheat	Local	490.08	49.008	49008	49008	Kilogram	88	FALSE	FALSE
ARR0021773	24-06-2026	MANDI001	Mustard	Premium	112.23	11.223	11223	112.23	Quintal	55	FALSE	FALSE
ARR0009786	02-04-2026	MANDI001	Wheat	Hybrid	164.63	16.463	16463	164.63	Quintal	125	FALSE	FALSE
ARR0000794	21-05-2026	MANDI001	Paddy	Premium	497.01	49.701	49701	497.01	Quintal	40	FALSE	FALSE
ARR0019927	16-05-2026	MANDI001	Maize	Hybrid	45.96	4.596	4596	4596	Kilogram	50	FALSE	FALSE
ARR0013118	16-06-2026	MANDI001	Mustard	Pusa-1121	110.37	11.037	11037	11037	Kilogram	52	FALSE	FALSE
ARR0007379	24-06-2026	MANDI001	Maize		269.05	26.905	26905	26.905	Metric Tonne	31	FALSE	FALSE
ARR0002166	12-06-2026	MANDI001	Wheat	HD-2967	256.92	25.692	25692	256.92	Quintal	121	FALSE	FALSE
ARR0006347	04-09-2026	MANDI001	Maize	PBW-343	100.49	10.049	10049	100.49	Quintal	56	FALSE	FALSE
ARR0009319	17-05-2026	MANDI001	Wheat	Hybrid	239.82	23.982	23982	23.982	Metric Tonne	94	FALSE	FALSE
ARR0002584	08-06-2026	MANDI001	Sugarcane	Hybrid	214.31	21.431	21431	21.431	Metric Tonne	70	FALSE	FALSE
ARR0019461	12-08-2026	MANDI001	Cotton	Hybrid	421.02	42.102	42102	421.02	Quintal	115	FALSE	FALSE
ARR0008273	25-08-2026	MANDI001	Cotton		97.17	9.717	9717	9717	Kilogram	90	FALSE	FALSE
ARR0012555	14-03-2026	MANDI001	Mustard	Hybrid	358.33	35.833	35833	35.833	Metric Tonne	99	FALSE	FALSE
ARR0011272	03-02-2026	MANDI001	Rice	Hybrid	493.01	49.301	49301	49301	Kilogram		FALSE	FALSE
ARR0007075	11-06-2026	MANDI001	Rice		115.26	11.526	11526	115.26	Quintal	8	FALSE	FALSE
ARR0001347	01-04-2026	MANDI001	Rice		112.26	11.226	11226	112.26	Quintal	8	FALSE	FALSE
ARR0017168	24-04-2026	MANDI001	Wheat		252.35	25.235	25235	25.235	Metric Tonne	99	FALSE	FALSE
ARR0017830	22-01-2026	MANDI001	Wheat		280.16	28.016	28016	280.16	Quintal	131	FALSE	FALSE
ARR0002093	13-01-2026	MANDI001	Maize	Pusa-1121	55.21	5.521	5521	5.521	Metric Tonne		FALSE	FALSE
ARR0024104	29-06-2026	MANDI001	Wheat		181.85	18.185	18185	18.185	Metric Tonne	135	FALSE	FALSE
ARR0004787	22-08-2026	MANDI001	Rice	HD-2967	176.86	17.686	17686	176.86	Quintal	109	FALSE	FALSE
ARR0023374	20-01-2026	MANDI001	Wheat	PBW-343	175.69	17.569	17569	17569	Kilogram	36	FALSE	FALSE
ARR0010952	03-08-2026	MANDI001	Sugarcane	Premium	143.53	14.353	14353	143.53	Quintal	48	FALSE	FALSE
ARR0012176	09-09-2026	MANDI001	Wheat	Local	365.58	36.558	36558	36558	Kilogram	126	FALSE	FALSE
ARR0010720	21-03-2026	MANDI001	Maize	Hybrid	169.26	16.926	16926	16.926	Metric Tonne	78	FALSE	FALSE
ARR0016720	05-11-2026	MANDI001	Sugarcane	HD-2967	124.1	12.41	12410	12410	Kilogram	132	FALSE	FALSE
ARR0012668	13-07-2026	MANDI001	Mustard	Premium	290.28	29.028	29028	29028	Kilogram	104	FALSE	FALSE
ARR0013859	21-01-2026	MANDI001	Maize	Pusa-1121	306.93	30.693	30693	30693	Kilogram		FALSE	FALSE
ARR0018265	03-04-2026	MANDI001	Cotton	HD-2967	223.81	22.381	22381	22381	Kilogram	35	FALSE	FALSE
ARR_IMP00251	31-05-2026	MANDI001	Rice	Premium	53.89	5.389	5389	5.389	Metric Tonne	17	TRUE	FALSE
ARR0020179	22-03-2026	MANDI001	Maize	Premium	194.61	19.461	19461	194.61	Quintal	32	FALSE	FALSE
ARR0011276	15-08-2026	MANDI001	Maize	Pusa-1121	373.56	37.356	37356	373.56	Quintal	58	FALSE	FALSE
ARR0008453	20-08-2026	MANDI001	Sugarcane	Premium	107.35	10.735	10735	107.35	Quintal	9	FALSE	FALSE
ARR0012998	25-06-2026	MANDI001	Sugarcane	PBW-343	20.37	2.037	2037	20.37	Quintal	64	FALSE	FALSE
